id,city_id,iata_code,icao_code,lat,lon
535,541,IDK,YIDK,-26.9667,133.325
536,329,IFF,YIFY,-18.87161,141.212
537,464,IFL,YIFL,-17.5594,146.01199
538,365,IGH,YIGM,-18.6606,146.15199
539,359,IKP,YIKM,-16.275,141.442
540,311,INJ,YINJ,-25.85297,148.55455
541,318,INM,YINN,-27.7013,140.7368
542,354,ISI,YISF,-24.2583,144.425
543,470,IVW,YINW,-17.8411,129.64301
544,460,JAB,YJAB,-12.6583,132.89301
545,362,JCK,YJLC,-20.6683,141.72301
546,507,WSY,YWHI,-20.27693,148.75544
547,354,JUN,YJDA,-24.8417,143.058
548,266,JUR,YJNB,-30.3,115.033
549,470,KBB,YKIR,-17.7792,129.21001
550,547,KBD,,-17.3978,124.355
551,411,KCE,YCSV,-20.5967,147.86
552,546,KCS,YKCS,-24.4233,131.83501
553,470,KFG,YKKG,-17.4319,130.808
554,541,KGR,,-25.8428,133.29201
555,357,KKP,YKLB,-15.3189,143.955
556,417,KML,YKML,-19.375,140.05701
557,243,KNI,YKNG,-33.7167,117.633
558,359,KOH,YKLA,-15.8886,142.439
559,361,KRB,YKMB,-17.4567,140.83
560,347,KSV,YSPV,-23.56233,140.71881
561,485,KUG,YKUB,-10.225,142.218
562,471,KYF,YYLR,-27.2769,120.096
563,524,KYI,YYTA,-31.4706,131.825
564,216,LCN,YBLC,-30.535,139.33701
565,507,LDC,YLIN,-20.4536,149.03999
566,469,LEL,YLEV,-12.4989,135.806
567,470,LIB,YLIM,-17.2356,129.882
568,467,LOA,YLOR,-19.00565,139.89703
569,209,LOC,YLOK,-33.54369,135.69261
570,366,LTP,YLHS,-19.1958,144.371
571,361,LTV,YLOV,-17.0483,141.37601
572,357,LUT,YLRS,-15.183,144.346
573,357,LUU,YLRA,-15.56074,144.45155
574,467,LWH,YLAH,-18.5683,138.63499
575,236,MBB,YMBL,-21.1633,119.833
576,497,MET,YMOT,-12.4442,142.638
577,494,MFP,YMCR,-22.1,137.983
578,473,MGT,YMGB,-12.0944,134.894
579,235,MQZ,YMGT,-33.9306,115.1
580,505,MHO,YMHO,-17.055,125.71
581,209,MIN,YMPA,-32.8433,135.145
582,237,MJP,YMJM,-34.2653,116.14
583,343,MLR,YMCT,-37.5836,140.366
584,459,MMM,YMMU,-22.8025,148.705
585,216,MNE,YMUG,-28.0092,138.657
586,341,MNQ,YMTO,-24.8858,151.10001
587,489,MNW,YMDS,-22.444,135.19901
588,216,MOO,YOOM,-28.0994,140.19701
589,533,MQA,YMDI,-19.7383,120.838
590,489,MQE,YMQA,-22.8058,137.25101
591,541,MRP,YALA,-27.3333,133.627
592,470,MTD,YMSF,-16.9783,130.55499
593,528,MTL,YMND,-32.7033,151.48801
594,342,MTQ,YMIT,-26.4833,147.937
595,541,MUP,YMUP,-25.86,131.64999
